alpha,CL,CD,CDp,Cm,Top Xtr,Bot Xtr,Cpmin,Chinge,XCp,Smth1,Smth2
 -3.400,-0.3864, 0.00463, 0.00069, 0.0011,0.2718,0.0044,-2.5712, 0.0000, 0.0000, 0.0000, 0.2509
 -3.300,-0.3751, 0.00461, 0.00067, 0.0011,0.2628,0.0049,-2.4282, 0.0000, 0.0000, 0.0000, 0.2510
 -3.200,-0.3637, 0.00459, 0.00064, 0.0010,0.2566,0.0051,-2.2874, 0.0000, 0.0000, 0.0000, 0.2510
 -3.100,-0.3524, 0.00457, 0.00063, 0.0010,0.2555,0.0052,-2.1496, 0.0000, 0.0000, 0.0000, 0.2511
 -3.000,-0.3410, 0.00457, 0.00061, 0.0010,0.2488,0.0057,-2.0162, 0.0000, 0.0000, 0.0000, 0.2511
 -2.900,-0.3297, 0.00456, 0.00060, 0.0009,0.2398,0.0062,-1.9086, 0.0000, 0.0000, 0.0000, 0.2512
 -2.800,-0.3183, 0.00455, 0.00058, 0.0009,0.2353,0.0067,-1.8108, 0.0000, 0.0000, 0.0000, 0.2512
 -2.700,-0.3069, 0.00454, 0.00056, 0.0009,0.2323,0.0072,-1.7149, 0.0000, 0.0000, 0.0000, 0.2513
 -2.600,-0.2956, 0.00453, 0.00054, 0.0009,0.2251,0.0084,-1.6213, 0.0000, 0.0000, 0.0000, 0.2513
 -2.500,-0.2842, 0.00451, 0.00053, 0.0008,0.2167,0.0090,-1.5288, 0.0000, 0.0000, 0.0000, 0.2514
 -2.400,-0.2729, 0.00450, 0.00051, 0.0008,0.2147,0.0092,-1.4376, 0.0000, 0.0000, 0.0000, 0.2514
 -2.300,-0.2615, 0.00450, 0.00050, 0.0008,0.2087,0.0096,-1.3484, 0.0000, 0.0000, 0.0000, 0.2514
 -2.200,-0.2501, 0.00450, 0.00049, 0.0007,0.2010,0.0110,-1.2608, 0.0000, 0.0000, 0.0000, 0.2515
 -2.100,-0.2387, 0.00448, 0.00047, 0.0007,0.1959,0.0125,-1.1751, 0.0000, 0.0000, 0.0000, 0.2515
 -2.000,-0.2274, 0.00446, 0.00046, 0.0007,0.1933,0.0141,-1.0913, 0.0000, 0.0000, 0.0000, 0.2516
 -1.900,-0.2160, 0.00447, 0.00045, 0.0006,0.1850,0.0144,-1.0088, 0.0000, 0.0000, 0.0000, 0.2516
 -1.800,-0.2046, 0.00446, 0.00045, 0.0006,0.1776,0.0150,-0.9278, 0.0000, 0.0000, 0.0000, 0.2516
 -1.700,-0.1933, 0.00445, 0.00043, 0.0006,0.1763,0.0172,-0.8542, 0.0000, 0.0000, 0.0000, 0.2517
 -1.600,-0.1819, 0.00445, 0.00042, 0.0005,0.1667,0.0201,-0.7948, 0.0000, 0.0000, 0.0000, 0.2517
 -1.500,-0.1705, 0.00445, 0.00042, 0.0005,0.1596,0.0191,-0.7344, 0.0000, 0.0000, 0.0000, 0.2517
 -1.300,-0.1478, 0.00444, 0.00039, 0.0004,0.1509,0.0252,-0.6203, 0.0000, 0.0000, 0.0000, 0.2518
 -1.200,-0.1364, 0.00442, 0.00038, 0.0004,0.1422,0.0294,-0.5649, 0.0000, 0.0000, 0.0000, 0.2518
